Id|OrderNo|BranchId|BranchName|IsAgency|PoIndex|PoName|PoIndexNo
1|1|1|ABŞERON|0|Az0100|MƏRKƏZI PŞ|100
2|2|1|ABŞERON|0|Az0101|1 SAYLI PŞ|101
3|3|1|ABŞERON|0|Az0102|2 SAYLI PŞ|102
4|4|1|ABŞERON|0|Az0111|AŞAĞI GÜZDƏK PŞ|111
5|5|1|ABŞERON|0|Az0112|CEYRANBATAN PŞ|112
6|6|1|ABŞERON|0|Az0113|FATMAYI PŞ|113
7|7|1|ABŞERON|0|Az0114|GÜZDƏK-2 PŞ|114
8|8|1|ABŞERON|0|Az0115|HÖKMƏLI PŞ|115
9|9|1|ABŞERON|0|Az0116|MASAZIR-1 PŞ|116
10|10|1|ABŞERON|0|Az0117|QOBU PŞ|117
11|11|1|ABŞERON|0|Az0118|MEHDIABAD PŞ|118
12|12|1|ABŞERON|0|Az0119|NOVXANI PŞ|119
13|13|1|ABŞERON|0|Az0120|PIRƏKƏŞKÜL PŞ|120
14|14|1|ABŞERON|0|Az0121|SARAY-1PŞ|121
15|15|1|ABŞERON|0|Az0122|GORADIL PŞ|122
16|16|1|ABŞERON|0|Az0123|MASAZIR-2 PŞ|123
17|17|1|ABŞERON|0|Az0124|ÇAYLI PŞ|124
18|18|1|ABŞERON|0|Az0125|MƏHƏMMMƏDLI PŞ|125
19|19|1|ABŞERON|0|Az0127|DIGAH PŞ|127
20|20|1|ABŞERON|0|Az0128|SARAY-2 PŞ|128
21|21|1|ABŞERON|0|Az0129|MEXKALON PŞ|129
22|22|1|ABŞERON|0|Az0130|AT YALI PŞ|130
23|23|1|ABŞERON|0|Az0131|GORADIL-2 PŞ|131
24|24|1|ABŞERON|0|Az0155|MÜŞVIQABAD PŞ|155
25|25|1|ABŞERON|1|Az0155|QACQIN SHEHERCIYI|155
26|26|2|AĞDAM|0|Az0200|MƏRKƏZI PŞ|200
27|27|2|AĞDAM|0|Az0216|ÇƏMƏNLI PŞ|216
28|28|2|AĞDAM|0|Az0217|ƏFƏTLI PŞ|217
29|29|2|AĞDAM|0|Az0227|XINDIRISTAN PŞ|227
30|30|2|AĞDAM|0|Az0230|QARADAĞLI PŞ|230
31|31|2|AĞDAM|0|Az0233|QUZANLI PŞ|233
32|32|2|AĞDAM|0|Az0234|MAHRIZLI PŞ|234
33|33|2|AĞDAM|0|Az0246|ÜÇ OĞLAN PŞ|246
34|34|2|AĞDAM|1|Az0200|DORD YOL-1 PA|200
35|35|2|AĞDAM|1|Az0216|BAHARLI PA|216
36|36|2|AĞDAM|1|Az0227|BƏNÖVŞƏLƏR PA|227
37|37|3|AĞDAŞ|0|Az0300|MƏRKƏZI PŞ|300
38|38|3|AĞDAŞ|0|Az0301|1 SAYLI PŞ|301
39|39|3|AĞDAŞ|0|Az0302|2 SAYLI PŞ (MAŞAD)|302
40|40|3|AĞDAŞ|0|Az0311|ABAD PŞ|311
41|41|3|AĞDAŞ|0|Az0313|ŞORDƏHNƏ PŞ|313
42|42|3|AĞDAŞ|0|Az0318|GÜVƏKƏND PŞ|318
43|43|3|AĞDAŞ|0|Az0321|KÜKƏL PŞ|321
44|44|3|AĞDAŞ|0|Az0324|QOLQƏTI PŞ|324
45|45|3|AĞDAŞ|0|Az0325|LƏKI PŞ|325
46|46|3|AĞDAŞ|0|Az0327|ORTA LƏKI PŞ|327
47|47|3|AĞDAŞ|0|Az0328|PIRƏZƏ PŞ|328
48|48|3|AĞDAŞ|0|Az0331|DƏHNƏXƏLIL PŞ|331
49|49|3|AĞDAŞ|0|Az0332|YENICƏ PŞ|332
50|50|3|AĞDAŞ|0|Az0333|YUXARI QƏSIL PŞ|333
51|51|3|AĞDAŞ|0|Az0340|ƏRƏB PŞ|340
52|52|4|AĞCABƏDI|0|Az0400|MƏRKƏZI PŞ|400
53|53|4|AĞCABƏDI|0|Az0402|2 SAYLI PŞ|402
54|54|4|AĞCABƏDI|0|Az0403|3 SAYLI PŞ|403
55|55|4|AĞCABƏDI|0|Az0404|4 SAYLI PŞ|404
56|56|4|AĞCABƏDI|0|Az0411|AVŞAR PŞ|411
57|57|4|AĞCABƏDI|0|Az0412|BOYAD PŞ|412
58|58|4|AĞCABƏDI|0|Az0413|GƏLƏBƏDIN PŞ|413
59|59|4|AĞCABƏDI|0|Az0414|HACIBƏDƏLLI PŞ|414
60|60|4|AĞCABƏDI|0|Az0415|HINDARX PŞ|415
61|61|4|AĞCABƏDI|0|Az0416|HÜSÜLÜ PŞ|416
62|62|4|AĞCABƏDI|0|Az0417|XOCAVƏND PŞ|417
63|63|4|AĞCABƏDI|0|Az0418|KƏBIRLI PŞ|418
64|64|4|AĞCABƏDI|0|Az0419|KƏHRIZLI PŞ|419
65|65|4|AĞCABƏDI|0|Az0420|QARADOLAQ PŞ|420
66|66|4|AĞCABƏDI|0|Az0421|QARAVƏLLI PŞ|421
67|67|4|AĞCABƏDI|0|Az0422|YUXARI QIYAMADINLI PŞ|422
68|68|4|AĞCABƏDI|0|Az0424|MINƏXORLU PŞ|424
