No|Code|Value|AliasEn|AliasAz|AliasRu|DescriptionEn|DescriptionAz|DescriptionRu
1|WHITE|White|White|Ağ|Белый|||
2|BLACK|Black|Black|Qara|Черный|||
3|RED|Red|Red|Qırmızı|Красный|||
4|GREEN|Green|Green|Yaşıl|Зеленый|||
5|BLUE|Blue|Blue|Mavi|Синий|||
6|YELLOW|Yellow|Yellow|Sarı|Желтый|||
7|ORANGE|Orange|Orange|Narıncı|Оранжевый|||
8|PURPLE|Purple|Purple|Bənövşəyi|Фиолетовый|||
9|PINK|Pink|Pink|Çəhrayı|Розовый|||
10|BROWN|Brown|Brown|Qəhvəyi|Коричневый|||
11|GREY|Grey|Grey|Boz|Серый|||
12|CYAN|Cyan|Cyan|Firuzyi|Циан|||
13|MAGENTA|Magenta|Magenta|Al-qırmızı|Маджента|||
14|GOLD|Gold|Gold|Qızılı|Золотой|||
15|SILVER|Silver|Silver|Gümüşü|Серебряный|||
16|NAVY|Navy|Navy|Tünd göy|Темно-синий|||
17|BEIGE|Beige|Beige|Bej|Бежевый|||
18|TURQUOISE|Turquoise|Turquoise|Firuzəyi|Бирюзовый|||
19|LAVENDER|Lavender|Lavender|Lavanda|Лавандовый|||
20|MAROON|Maroon|Maroon|Tünd qırmızı|Бордовый|||
21|OLIVE|Olive|Olive|Zeytun|Оливковый|||
22|CORAL|Coral|Coral|Mərcan|Коралловый|||
23|TEAL|Teal|Teal|Tünd yaşıl-mavi|Бирюзово-зеленый|||
24|INDIGO|Indigo|Indigo|İndiqo|Индиго|||
25|IVORY|Ivory|Ivory|Fil sümüyü|Слоновая кость|||
26|KHAKI|Khaki|Khaki|Xaki|Хаки|||
27|LIME|Lime|Lime|Laym|Лаймовый|||
28|CHARCOAL|Charcoal|Charcoal|Kömür|Угольный|||
29|AQUAMARINE|Aquamarine|Aquamarine|Akvamarin|Аквамарин|||
30|AMBER|Amber|Amber|Kəhrəba|Янтарный|||
31|SKY_BLUE|Sky Blue|Sky Blue|Səma mavisi|Небесно-голубой|||
32|EMERALD|Emerald|Emerald|Zümrüd|Изумрудный|||
33|MUSTARD|Mustard|Mustard|Xardal|Горчичный|||
